,date,view,recommend,reply
0,20231018,7346,223,36
1,20231018,6856,342,46
2,20231018,3889,54,39
3,20231018,7133,224,32
4,20231018,9068,344,52
5,20231018,9100,470,69
6,20231018,7843,80,46
7,20231018,6619,236,62
8,20231018,7493,143,50
9,20231018,6961,138,32
10,20231018,15602,568,95
11,20231018,10700,545,71
12,20231017,8178,426,38
13,20231017,8987,297,31
14,20231017,11270,397,53
15,20231017,8723,523,53
16,20231017,11176,197,53
17,20231017,9241,278,49
18,20231017,7262,260,29
19,20231017,8802,284,36
20,20231017,6310,218,38
21,20231017,11035,257,66
22,20231017,10886,157,93
23,20231017,6884,57,62
24,20231017,8150,273,48
25,20231017,5992,193,55
26,20231017,6521,617,100
27,20231017,10038,750,58
28,20231017,6989,245,63
29,20231017,8818,349,60
30,20231017,9308,320,44
31,20231017,10871,288,38
32,20231017,6808,218,36
33,20231017,7653,268,43
34,20231017,9758,211,31
35,20231017,9335,350,48
36,20231017,5949,222,76
37,20231017,7630,255,40
38,20231017,5881,182,45
39,20231017,9509,253,121
40,20231017,6071,172,30
41,20231016,11807,383,131
42,20231016,6664,292,30
43,20231016,2492,91,12
44,20231016,7869,184,41
45,20231016,6089,250,33
46,20231016,4606,117,31
47,20231016,8141,371,69
48,20231016,5717,234,27
49,20231016,8205,334,86
50,20231016,9806,266,37
51,20231016,3547,185,10
52,20231016,6820,273,30
53,20231016,14051,340,354
54,20231016,10891,115,120
55,20231016,13279,172,31
56,20231016,10403,95,65
57,20231016,8069,195,53
58,20231016,6564,82,39
59,20231016,9042,157,101
60,20231016,3988,60,32
61,20231016,8806,477,83
62,20231015,10927,460,101
63,20231015,9436,308,54
64,20231015,9088,261,42
65,20231015,7908,320,78
66,20231015,11583,341,62
67,20231015,8645,246,63
68,20231015,5875,135,24
69,20231015,4813,143,33
70,20231015,8075,182,34
71,20231015,8334,194,43
72,20231015,7462,147,18
73,20231015,7451,182,21
74,20231015,9745,440,69
75,20231015,8079,287,41
76,20231015,6044,116,22
77,20231015,4625,53,20
78,20231015,7768,195,32
79,20231015,4694,125,43
80,20231015,3959,63,15
81,20231015,7351,546,88
82,20231014,10435,338,77
83,20231014,10795,375,59
84,20231014,7512,213,31
85,20231014,8148,413,37
86,20231014,6420,231,45
87,20231014,6949,878,98
88,20231014,7214,386,34
89,20231014,7718,280,32
90,20231014,5113,375,41
91,20231014,5800,387,42
92,20231014,6623,425,54
93,20231014,7514,402,32
94,20231014,4105,238,24
95,20231014,3640,172,39
96,20231014,3923,214,41
