지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2022/04/02,34
108,서울,2022/04/03,45
108,서울,2022/04/04,50
108,서울,2022/04/05,41
108,서울,2022/04/06,50
108,서울,2022/04/07,40
108,서울,2022/04/08,54
108,서울,2022/04/09,58
108,서울,2022/04/10,51
108,서울,2022/04/11,36
108,서울,2022/04/12,27
108,서울,2022/04/13,13
108,서울,2022/04/14,14
108,서울,2022/04/16,39
108,서울,2022/04/17,47
108,서울,2022/04/18,50
108,서울,2022/04/19,60
108,서울,2022/04/20,59
108,서울,2022/04/21,43
108,서울,2022/04/22,52
108,서울,2022/04/23,53
108,서울,2022/04/24,50
108,서울,2022/04/25,44
108,서울,2022/04/26,47
108,서울,2022/04/27,169
108,서울,2022/04/28,77
108,서울,2022/04/30,25
108,서울,2022/05/01,48
108,서울,2022/05/02,45
108,서울,2022/05/03,40
108,서울,2022/05/04,42
108,서울,2022/05/05,34
108,서울,2022/05/06,38
108,서울,2022/05/07,31
108,서울,2022/05/08,20
108,서울,2022/05/09,20
108,서울,2022/05/10,29
108,서울,2022/05/11,30
108,서울,2022/05/12,34
108,서울,2022/05/13,30
108,서울,2022/05/14,35
108,서울,2022/05/15,27
108,서울,2022/05/16,33
108,서울,2022/05/17,56
108,서울,2022/05/18,60
108,서울,2022/05/19,46
108,서울,2022/05/20,38
108,서울,2022/05/21,36
108,서울,2022/05/22,39
108,서울,2022/05/23,69
108,서울,2022/05/24,35
108,서울,2022/05/25,25
108,서울,2022/05/26,26
108,서울,2022/05/27,26
108,서울,2022/05/28,35
108,서울,2022/05/29,31
108,서울,2022/05/30,28
108,서울,2022/05/31,28
108,서울,2022/06/01,26
108,서울,2022/06/02,29
108,서울,2022/06/03,41
108,서울,2022/06/04,38
108,서울,2022/06/05,24
108,서울,2022/06/08,19
108,서울,2022/06/09,24
108,서울,2022/06/10,27
108,서울,2022/06/11,28
108,서울,2022/06/12,25
108,서울,2022/06/13,27
108,서울,2022/06/14,13
108,서울,2022/06/15,14
108,서울,2022/06/16,18
108,서울,2022/06/17,25
108,서울,2022/06/18,21
108,서울,2022/06/19,26
108,서울,2022/06/20,25
108,서울,2022/06/21,29
108,서울,2022/06/22,28
108,서울,2022/06/23,27
108,서울,2022/06/25,47
108,서울,2022/06/26,23
108,서울,2022/06/27,12
108,서울,2022/06/28,18
108,서울,2022/06/29,14
108,서울,2022/07/01,20
108,서울,2022/07/02,29
108,서울,2022/07/03,36
108,서울,2022/07/04,38
108,서울,2022/07/05,34
108,서울,2022/07/06,32
108,서울,2022/07/07,22
108,서울,2022/07/08,22
108,서울,2022/07/09,23
108,서울,2022/07/10,41
108,서울,2022/07/11,26
108,서울,2022/07/12,14
108,서울,2022/07/13,16
108,서울,2022/07/14,14
108,서울,2022/07/15,25
108,서울,2022/07/16,27
108,서울,2022/07/17,26
108,서울,2022/07/18,26
108,서울,2022/07/19,34
108,서울,2022/07/20,31
108,서울,2022/07/21,13
108,서울,2022/07/22,29
108,서울,2022/07/23,33
108,서울,2022/07/24,18
108,서울,2022/07/25,24
108,서울,2022/07/26,33
108,서울,2022/07/27,38
108,서울,2022/07/28,28
108,서울,2022/07/29,25
108,서울,2022/07/30,23
108,서울,2022/07/31,13
