index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens
0,KIA,LG,0,9,5.0,5.0,0,5.0,5.0,A. 플럿코,양현종,14:00,토,광주,16908,4,2022,0,0.0,7.4,21.0,20220402,8394.361111111111,8394.361111111111,even,0.5,0.0,0.0,0,0
1,KT,Samsung,4,1,5.0,5.0,0,5.0,5.0,W. 쿠에바스,D. 뷰캐넌,14:00,토,수원,17057,4,2022,0,0.0,5.4,46.0,20220402,7392.611111111111,7392.611111111111,even,0.5,0.0,,0,0
2,NC,SSG,0,4,5.0,5.0,0,5.0,5.0,W. 폰트,심창민,14:00,토,창원,7814,4,2022,0,0.0,10.5,23.0,20220402,5125.25,5125.25,even,0.5,0.0,,0,0
3,Doosan,Hanhwa,6,4,5.0,5.0,0,5.0,5.0,R. 스탁,김민우,14:00,토,잠실,16271,4,2022,0,0.0,9.3,34.0,20220402,8952.972222222223,8952.972222222223,even,0.5,0.0,,0,0
4,Kiwoom,Lotte,2,7,5.0,5.0,0,5.0,5.0,C. 반즈,안우진,14:00,토,고척,8257,4,2022,0,0.0,8.1,34.0,20220402,4857.958333333333,4857.958333333333,even,0.5,0.0,,0,0
5,KIA,LG,2,3,6.0,1.0,0,5.0,5.0,진해수,S. 놀린,14:00,일,광주,10290,4,2022,0,0.0,8.4,28.0,20220403,16908.0,8394.361111111111,lose,0.0,1.0,0.0,0,0
6,KT,Samsung,5,6,1.0,6.0,0,5.0,5.0,임대한,김재윤,14:00,일,수원,10321,4,2022,0,0.0,6.9,70.0,20220403,17057.0,7392.611111111111,win,0.9411764705882353,1.0,1.0,0,0
7,NC,SSG,1,4,6.0,1.0,0,5.0,5.0,노경은,W. 파슨스,14:00,일,창원,4808,4,2022,0,0.0,11.3,31.0,20220403,7814.0,5125.25,lose,0.0,1.0,0.0,0,0
8,Doosan,Hanhwa,1,0,1.0,6.0,0,5.0,5.0,최원준,N. 킹험,14:00,일,잠실,11345,4,2022,0,0.0,10.6,45.0,20220403,16271.0,8952.972222222223,win,0.6923076923076923,1.0,1.0,0,0
9,Kiwoom,Lotte,4,3,6.0,1.0,0,5.0,5.0,이승호,최준용,14:00,일,고척,6115,4,2022,0,0.0,10.1,45.0,20220403,8257.0,4857.958333333333,lose,0.07547169811320754,1.0,0.0,0,0
10,KIA,Hanhwa,4,3,8.0,8.0,0,5.0,5.0,유승철,장시환,18:30,화,광주,2840,4,2022,0,0.0,9.5,32.0,20220405,10290.0,8394.361111111111,even,0.02702702702702703,0.0,0.0,0,0
11,KT,SSG,5,8,5.0,1.0,0,5.0,5.0,박민호,O. 데스파이네,18:30,화,수원,2055,4,2022,0,0.0,8.1,73.0,20220405,10321.0,7392.611111111111,even,0.6230769230769231,1.0,0.5,0,0
12,NC,Lotte,1,5,8.0,5.0,0,5.0,5.0,김진욱,신민혁,18:30,화,창원,3246,4,2022,0,0.0,13.2,34.0,20220405,4808.0,5125.25,even,0.015384615384615385,1.0,0.0,0,0
13,Doosan,Samsung,5,6,1.0,5.0,0,5.0,5.0,이재익,홍건희,18:30,화,잠실,4109,4,2022,0,0.0,11.7,41.0,20220405,11345.0,8952.972222222223,even,0.7538461538461538,1.0,1.0,0,0
14,Kiwoom,LG,4,8,5.0,1.0,0,5.0,5.0,임찬규,노운현,18:30,화,고척,2298,4,2022,0,0.0,10.7,41.0,20220405,6115.0,4857.958333333333,even,0.2647058823529412,1.0,0.5,0,0
15,KIA,Hanhwa,7,4,7.0,9.0,0,5.0,5.0,윤중현,김재영,18:30,수,광주,3117,4,2022,0,0.0,11.3,34.0,20220406,2840.0,8394.361111111111,win,0.13793103448275862,1.0,0.3333333333333333,0,0
16,KT,SSG,0,3,7.0,1.0,0,5.0,5.0,오원석,고영표,18:30,수,수원,2094,4,2022,0,0.0,9.6,65.0,20220406,2055.0,7392.611111111111,lose,0.4655581947743468,2.0,0.3333333333333333,0,0
17,NC,Lotte,5,0,9.0,4.0,0,5.0,5.0,송명기,이인복,18:30,수,창원,3000,4,2022,0,0.0,14.5,43.0,20220406,3246.0,5125.25,lose,0.023121387283236993,2.0,0.0,0,0
18,Doosan,Samsung,1,7,4.0,4.0,0,5.0,5.0,양창섭,곽빈,18:30,수,잠실,4161,4,2022,0,0.0,12.6,50.0,20220406,4109.0,8952.972222222223,lose,0.5901639344262295,0.0,0.6666666666666666,0,0
19,Kiwoom,LG,1,2,7.0,1.0,0,5.0,5.0,진해수,박주성,18:30,수,고척,2304,4,2022,0,0.0,12.1,50.0,20220406,2298.0,4857.958333333333,lose,0.2358490566037736,2.0,0.3333333333333333,0,0
20,KIA,Hanhwa,6,2,5.0,9.0,0,5.0,5.0,유승철,김범수,18:30,목,광주,2773,4,2022,0,0.0,11.0,28.0,20220407,3117.0,8394.361111111111,win,0.31886792452830187,2.0,0.5,0,0
21,KT,SSG,3,4,8.0,1.0,0,5.0,5.0,이태양,소형준,18:30,목,수원,2530,4,2022,0,0.0,9.0,42.0,20220407,2094.0,7392.611111111111,lose,0.3769230769230769,3.0,0.25,0,0
22,NC,Lotte,1,2,8.0,5.0,0,5.0,5.0,C. 반즈,이재학,18:30,목,창원,3017,4,2022,0,0.0,15.4,44.0,20220407,3000.0,5125.25,win,0.22477064220183487,1.0,0.25,0,0
23,Doosan,Samsung,6,5,5.0,2.0,0,5.0,5.0,홍건희,우규민,18:30,목,잠실,4055,4,2022,0,0.0,11.7,40.0,20220407,4161.0,8952.972222222223,lose,0.36899563318777295,1.0,0.5,0,0
24,Kiwoom,LG,0,6,8.0,1.0,0,5.0,5.0,김윤식,정찬헌,18:30,목,고척,2055,4,2022,0,0.0,10.9,40.0,20220407,2304.0,4857.958333333333,lose,0.23224568138195778,3.0,0.25,0,0
25,LG,NC,1,4,1.0,8.0,0,5.6,1.6,D. 루친스키,A. 플럿코,18:30,금,잠실,10623,4,2022,0,0.0,14.1,54.0,20220408,12918.930555555557,12918.930555555557,even,0.5,4.0,1.0,0,0
26,SSG,KIA,3,0,1.0,5.0,0,4.6,3.8,서진용,홍상삼,18:30,금,문학,15615,4,2022,0,0.0,11.8,54.0,20220408,13632.583333333334,13632.583333333334,even,0.5,2.0,1.0,0,0
