,date,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수
0,20230401,KT,LG,11,6,5.0,5.0,0,5.0,5.0,W. 벤자민,C. 켈리,14:00,토,수원,18700
1,20230401,SSG,KIA,4,1,5.0,5.0,0,5.0,5.0,김광현,S. 앤더슨,14:00,토,문학,23000
2,20230401,두산,롯데,12,10,5.0,5.0,0,5.0,5.0,최지강,문경찬,14:00,토,잠실,23750
3,20230401,삼성,NC,0,8,5.0,5.0,0,5.0,5.0,E. 페디,D. 뷰캐넌,14:00,토,대구,24000
4,20230401,키움,한화,3,2,5.0,5.0,0,5.0,5.0,문성현,장시환,14:00,토,고척,16000
5,20230402,KT,LG,9,10,1.0,6.0,0,5.0,5.0,함덕주,박영현,14:00,일,수원,14700
6,20230402,SSG,KIA,5,9,1.0,6.0,0,5.0,5.0,이의리,K. 맥카티,14:00,일,문학,23000
7,20230402,두산,롯데,0,2,1.0,6.0,0,5.0,5.0,나균안,최원준,14:00,일,잠실,23750
8,20230402,삼성,NC,8,6,6.0,1.0,0,5.0,5.0,이승현,김진호,14:00,일,대구,18483
9,20230402,키움,한화,7,6,1.0,6.0,0,5.0,5.0,김재웅,주현상,14:00,일,고척,11562
10,20230404,SSG,롯데,3,1,9.0,9.0,0,5.0,5.0,오원석,박세웅,18:30,화,문학,5809
11,20230404,두산,NC,1,0,9.0,9.0,0,5.0,5.0,정철원,심창민,18:30,화,잠실,3924
12,20230404,삼성,한화,7,6,9.0,10.0,0,5.0,5.0,이승현,한승주,18:30,화,대구,5936
13,20230404,키움,LG,1,7,1.0,9.0,0,5.0,5.0,A. 플럿코,A. 후라도,18:30,화,고척,4510
14,20230405,두산,NC,3,9,1.0,5.0,0,5.0,5.0,신민혁,최승용,18:30,수,잠실,2172
15,20230405,키움,LG,2,1,1.0,1.0,0,5.0,5.0,최원태,이민호,18:30,수,고척,4194
16,20230406,두산,NC,6,2,6.0,6.0,0,5.0,5.0,김동주,이준호,18:30,목,잠실,3724
17,20230406,삼성,한화,1,8,6.0,10.0,0,5.0,5.0,문동주,백정현,18:30,목,대구,6525
18,20230406,키움,LG,0,5,1.0,6.0,0,5.0,5.0,강효종,장재영,18:30,목,고척,4556
19,20230407,KIA,두산,1,4,8.0,1.0,0,5.0,4.4,R. 알칸타라,S. 앤더슨,18:30,금,광주,12821
20,20230407,LG,삼성,7,2,1.0,4.0,0,5.8,5.0,C. 켈리,양창섭,18:30,금,잠실,17201
21,20230407,NC,키움,2,0,4.0,1.0,0,5.0,2.6,E. 페디,안우진,18:30,금,창원,6867
22,20230407,롯데,KT,1,7,8.0,8.0,0,5.0,5.0,고영표,한현희,18:30,금,사직,14734
23,20230407,한화,SSG,3,7,8.0,4.0,0,5.0,5.0,서진용,한승혁,18:30,금,대전,10415
24,20230408,KIA,두산,7,6,9.0,1.0,0,5.0,2.8,정해영,김명신,17:00,토,광주,16432
25,20230408,LG,삼성,2,1,1.0,6.0,0,6.0,3.6,이정용,오승환,17:00,토,잠실,22141
26,20230408,NC,키움,11,5,4.0,4.0,0,3.8,2.0,김진호,김동혁,17:00,토,창원,9763
27,20230408,롯데,KT,3,7,9.0,6.0,0,5.0,5.0,W. 벤자민,D. 스트레일리,17:00,토,사직,16555
