index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens,home_view,home_recommend,home_reply,away_view,away_recommend,away_reply
0,KT,LG,11,6,5.0,5.0,0,5.0,5.0,W. 벤자민,C. 켈리,14:00,토,수원,18700,4,2023,1,0.0,15.7,112.0,20230401,9552.739726027396,9552.739726027396,even,0.5,0.0,0.0,0,0,35154.0,799.0,299.0,335802.0,6219.0,839.0
1,SSG,KIA,4,1,5.0,5.0,0,5.0,5.0,김광현,S. 앤더슨,14:00,토,문학,23000,4,2023,1,0.0,14.8,88.0,20230401,14633.027397260274,14633.027397260274,even,0.5,0.0,,0,0,194009.0,3718.0,847.0,289410.0,8523.0,1206.0
2,Doosan,Lotte,12,10,5.0,5.0,0,5.0,5.0,최지강,문경찬,14:00,토,잠실,23750,4,2023,1,0.0,18.4,88.0,20230401,13281.671232876712,13281.671232876712,even,0.5,0.0,,0,0,90554.0,2460.0,404.0,402204.0,8471.0,1657.0
3,Samsung,NC,0,8,5.0,5.0,0,5.0,5.0,E. 페디,D. 뷰캐넌,14:00,토,대구,24000,4,2023,1,0.0,14.6,53.0,20230401,11912.323943661971,11912.323943661971,even,0.5,0.0,,0,0,311096.0,6898.0,1242.0,23407.0,644.0,163.0
4,Kiwoom,Hanhwa,3,2,5.0,5.0,0,5.0,5.0,문성현,장시환,14:00,토,고척,16000,4,2023,1,0.0,17.3,88.0,20230401,8220.12676056338,8220.12676056338,even,0.5,0.0,,0,0,179985.0,4974.0,976.0,429706.0,10375.0,2196.0
5,KT,LG,9,10,1.0,6.0,0,5.0,5.0,함덕주,박영현,14:00,일,수원,14700,4,2023,0,0.0,17.8,76.0,20230402,18700.0,9552.739726027396,win,0.7707006369426752,1.0,1.0,0,0,88058.0,3497.0,708.0,179748.0,3622.0,640.0
6,SSG,KIA,5,9,1.0,6.0,0,5.0,5.0,이의리,K. 맥카티,14:00,일,문학,23000,4,2023,0,0.0,16.4,52.0,20230402,23000.0,14633.027397260274,win,0.9411764705882352,1.0,1.0,0,0,409537.0,11624.0,1775.0,427841.0,14890.0,2201.0
7,Doosan,Lotte,0,2,1.0,6.0,0,5.0,5.0,나균안,최원준,14:00,일,잠실,23750,4,2023,0,0.0,19.6,52.0,20230402,23750.0,13281.671232876712,win,0.5901639344262295,1.0,1.0,0,0,517454.0,20897.0,2391.0,755280.0,18355.0,2997.0
8,Samsung,NC,8,6,6.0,1.0,0,5.0,5.0,이승현,김진호,14:00,일,대구,18483,4,2023,0,0.0,13.6,34.0,20230402,24000.0,11912.323943661971,lose,0.0,1.0,0.0,0,0,339070.0,10078.0,1343.0,178100.0,6485.0,1278.0
9,Kiwoom,Hanhwa,7,6,1.0,6.0,0,5.0,5.0,김재웅,주현상,14:00,일,고척,11562,4,2023,0,0.0,19.3,52.0,20230402,16000.0,8220.12676056338,win,0.6923076923076923,1.0,1.0,0,0,411328.0,17745.0,2021.0,560342.0,14903.0,2111.0
10,SSG,Lotte,3,1,9.0,9.0,0,5.0,5.0,오원석,박세웅,18:30,화,문학,5809,4,2023,0,11.0,17.1,32.0,20230404,23000.0,14633.027397260274,even,0.4475138121546961,0.0,0.5,0,0,151368.0,3418.0,764.0,425493.0,9692.0,1719.0
11,Doosan,NC,1,0,9.0,9.0,0,5.0,5.0,정철원,심창민,18:30,화,잠실,3924,4,2023,0,8.5,17.9,32.0,20230404,23750.0,13281.671232876712,even,0.5,0.0,0.5,0,0,213091.0,7722.0,1190.0,21193.0,543.0,162.0
