point,where,date,avg_temp,rain
403,송파,2022/04/01,10.3,0
403,송파,2022/04/02,9.3,0
403,송파,2022/04/03,10.6,0
403,송파,2022/04/04,11.2,0
403,송파,2022/04/05,11.7,0
403,송파,2022/04/06,12.6,0
403,송파,2022/04/07,11.7,0
403,송파,2022/04/08,14.1,0
403,송파,2022/04/09,18.5,0
403,송파,2022/04/10,19,0
403,송파,2022/04/11,20.4,0
403,송파,2022/04/12,19.8,0
403,송파,2022/04/13,12.1,7.5
403,송파,2022/04/14,12.2,0
403,송파,2022/04/15,13.2,0
403,송파,2022/04/16,13.4,0
403,송파,2022/04/17,14.1,0
403,송파,2022/04/18,15.6,0
403,송파,2022/04/19,15.7,0
403,송파,2022/04/20,16.4,0
403,송파,2022/04/21,16.7,0
403,송파,2022/04/22,15.7,0
403,송파,2022/04/23,17.9,0
403,송파,2022/04/24,18.8,0
403,송파,2022/04/25,20,0.5
403,송파,2022/04/26,21.5,4
403,송파,2022/04/27,17.9,0
403,송파,2022/04/28,18.2,0
403,송파,2022/04/29,13.5,15.5
403,송파,2022/04/30,13.5,0
403,송파,2022/05/01,14,0
403,송파,2022/05/02,14.3,0
403,송파,2022/05/03,15.4,0
403,송파,2022/05/04,18.6,0
403,송파,2022/05/05,19.5,0
403,송파,2022/05/06,19.9,0
403,송파,2022/05/07,18.6,0
403,송파,2022/05/08,15.6,2.5
403,송파,2022/05/09,18.2,0
403,송파,2022/05/10,20.2,0
403,송파,2022/05/11,20.1,0
403,송파,2022/05/12,21.3,0
403,송파,2022/05/13,19.8,0
403,송파,2022/05/14,16.4,0
403,송파,2022/05/15,16.3,0
403,송파,2022/05/16,17.8,0
403,송파,2022/05/17,20.2,0
403,송파,2022/05/18,20.8,1
403,송파,2022/05/19,20.3,0
403,송파,2022/05/20,21,0
403,송파,2022/05/21,20.1,0
403,송파,2022/05/22,20.4,0
403,송파,2022/05/23,22.8,0
403,송파,2022/05/24,23.4,0
403,송파,2022/05/25,21.5,6
403,송파,2022/05/26,19.1,0
403,송파,2022/05/27,19.9,0
403,송파,2022/05/28,22.7,0
403,송파,2022/05/29,23.1,0
403,송파,2022/05/30,21.3,0
403,송파,2022/05/31,21.4,0
403,송파,2022/06/01,22.8,0
403,송파,2022/06/02,21.7,0
403,송파,2022/06/03,24.3,0
403,송파,2022/06/04,25.5,0
403,송파,2022/06/05,22,0
403,송파,2022/06/06,19.3,3
403,송파,2022/06/07,19.9,0
403,송파,2022/06/08,21.1,0
403,송파,2022/06/09,20.9,0.5
403,송파,2022/06/10,21.3,0
403,송파,2022/06/11,24.3,0
403,송파,2022/06/12,24.4,0
403,송파,2022/06/13,23.1,17
403,송파,2022/06/14,21.7,0
403,송파,2022/06/15,17.7,18.5
403,송파,2022/06/16,20.7,5
403,송파,2022/06/17,22.8,0
403,송파,2022/06/18,23.6,0
403,송파,2022/06/19,23.7,0
403,송파,2022/06/20,25.5,0
403,송파,2022/06/21,26.9,0
403,송파,2022/06/22,26.1,0
403,송파,2022/06/23,24.8,91
403,송파,2022/06/24,23.4,18
403,송파,2022/06/25,26.7,0
403,송파,2022/06/26,27.2,0
403,송파,2022/06/27,27.4,8
403,송파,2022/06/28,27.9,2.5
403,송파,2022/06/29,25.7,43
403,송파,2022/06/30,22.2,210.5
403,송파,2022/07/01,27.5,0
403,송파,2022/07/02,29.4,0
403,송파,2022/07/03,29.6,0
403,송파,2022/07/04,29.8,1
403,송파,2022/07/05,29.3,0
403,송파,2022/07/06,29.7,17
403,송파,2022/07/07,29,1
403,송파,2022/07/08,26.9,0
403,송파,2022/07/09,27.5,0
403,송파,2022/07/10,29.9,0
403,송파,2022/07/11,27.3,0
403,송파,2022/07/12,27.6,0
403,송파,2022/07/13,24.9,141
403,송파,2022/07/14,25.9,0
403,송파,2022/07/15,26.4,0
403,송파,2022/07/16,24.8,11
403,송파,2022/07/17,26,0
403,송파,2022/07/18,26.9,0
403,송파,2022/07/19,27.5,2.5
403,송파,2022/07/20,27.5,1
403,송파,2022/07/21,23.3,19.5
403,송파,2022/07/22,24.8,22.5
403,송파,2022/07/23,24.9,18
403,송파,2022/07/24,25.7,3
403,송파,2022/07/25,28.1,0
403,송파,2022/07/26,29.5,0
403,송파,2022/07/27,29.8,0
403,송파,2022/07/28,29.8,0
403,송파,2022/07/29,31.2,0
403,송파,2022/07/30,31.2,0
403,송파,2022/07/31,27.4,44
403,송파,2022/08/01,29.1,26.5
403,송파,2022/08/02,27.7,9.5
403,송파,2022/08/03,28.1,59
403,송파,2022/08/04,29.4,0
403,송파,2022/08/05,29.6,0
403,송파,2022/08/06,29.2,8.5
403,송파,2022/08/07,29.5,0.5
403,송파,2022/08/08,27.2,307.5
403,송파,2022/08/09,25.4,114.5
403,송파,2022/08/10,24.4,12.5
403,송파,2022/08/11,25,46
403,송파,2022/08/12,27.7,0
403,송파,2022/08/13,26.2,2
403,송파,2022/08/14,27.5,1.5
403,송파,2022/08/15,28.9,1.5
403,송파,2022/08/16,27.3,0
403,송파,2022/08/17,26.6,0
403,송파,2022/08/18,26.5,0
403,송파,2022/08/19,26.3,49
403,송파,2022/08/20,29,0
403,송파,2022/08/21,28.7,0
403,송파,2022/08/22,27.5,2
403,송파,2022/08/23,25.6,3
403,송파,2022/08/24,25.3,0
403,송파,2022/08/25,22.9,1.5
403,송파,2022/08/26,24.3,0
403,송파,2022/08/27,22.2,1.5
403,송파,2022/08/28,22.9,0
403,송파,2022/08/29,21.4,3
403,송파,2022/08/30,18.9,45
403,송파,2022/08/31,21.7,0
403,송파,2022/09/01,24.3,0
403,송파,2022/09/02,25.2,0
403,송파,2022/09/03,24.5,0
403,송파,2022/09/04,23.4,18
403,송파,2022/09/05,19.2,181
403,송파,2022/09/06,21.2,45.5
403,송파,2022/09/07,23.3,0
403,송파,2022/09/08,23.3,0
403,송파,2022/09/09,24.9,0
403,송파,2022/09/10,24.1,0
403,송파,2022/09/11,23.4,0
403,송파,2022/09/12,24.2,0
403,송파,2022/09/13,24.5,0
403,송파,2022/09/14,25.4,0
403,송파,2022/09/15,26.1,0
403,송파,2022/09/16,26.6,21.5
403,송파,2022/09/17,26.1,9.5
403,송파,2022/09/18,27.2,0
403,송파,2022/09/19,24.5,0
403,송파,2022/09/20,20.5,0
403,송파,2022/09/21,19.8,0
403,송파,2022/09/22,20.4,0
403,송파,2022/09/23,18.1,2.5
403,송파,2022/09/24,19.1,0
403,송파,2022/09/25,20,0
403,송파,2022/09/26,20.5,0
